Time (Gyr),Hubble Parameter in Voids,Hubble Parameter in Clusters,Total Cosmic Expansion Energy,Energy Difference (Chaotic Sensitivity)
7.014028056112225,73.45072949419695,73.45072949419695,10790.019326459387,9.52602713368833e-05
7.114228456913827,73.46176339100097,73.46176339100097,10793.261361030822,9.587044587533455e-05
7.214428857715431,73.47140707349362,73.47140707349362,10796.095314718017,9.640533426136244e-05
7.3146292585170345,73.47965666885518,73.47965666885518,10798.519888345669,9.686408520792611e-05
7.414829659318637,73.48650886411937,73.48650886411937,10800.53397007259,9.72459511103807e-05
7.515030060120241,73.49196090750365,73.49196090750365,10802.13663606009,9.755032988323364e-05
7.615230460921844,73.49601060951446,73.49601060951446,10803.327151027723,9.777672312338836e-05
7.715430861723447,73.49865634382641,73.49865634382641,10804.104968695789,9.792476703296416e-05
7.81563126252505,73.49989704793539,73.49989704793539,10804.469732114203,9.799423969525378e-05
7.915831663326654,73.4997322235854,73.4997322235854,10804.421273877515,9.798500286706258e-05
8.016032064128257,73.49816193696842,73.49816193696842,10803.959616225666,9.789709474716801e-05
8.11623246492986,73.49518681869802,73.49518681869802,10803.084971030645,9.773064994078595e-05
8.216432865731463,73.49080806355605,73.49080806355605,10801.79773966887,9.748593220137991e-05
8.316633266533067,73.48502743001279,73.48502743001279,10800.098512779465,9.716332897369284e-05
8.41683366733467,73.47784723952078,73.47784723952078,10797.988069908704,9.676336776465178e-05
8.517034068136272,73.4692703755826,73.4692703755826,10795.467379040916,9.628669613448437e-05
8.617234468937877,73.45930028259278,73.45930028259278,10792.537596016271,9.573407078278251e-05
8.71743486973948,73.44794096445467,73.44794096445467,10789.200063836039,9.510637937637512e-05
8.817635270541082,73.43519698297243,73.43519698297243,10785.456311855925,9.440462781640235e-05
8.917835671342687,73.42107345601909,73.42107345601909,10781.308054868301,9.362994569528382e-05
9.01803607214429,73.40557605548118,73.40557605548118,10776.757192074063,9.278358447772916e-05
9.118236472945892,73.38871100498108,73.38871100498108,10771.805805945261,9.186689749185462e-05
9.218436873747494,73.37048507737758,73.37048507737758,10766.456160979373,9.088135266210884e-05
9.318637274549099,73.35090559204592,73.35090559204592,10760.710702346467,8.982854342320934e-05
9.418837675350701,73.32998041193851,73.32998041193851,10754.57205443057,8.871015961631201e-05
9.519038076152304,73.30771794042717,73.30771794042717,10748.043019266453,8.752798748901114e-05
9.619238476953909,73.28412711792836,73.28412711792836,10741.126574873368,8.628392424725462e-05
9.719438877755511,73.25921741831287,73.25921741831287,10733.825873487272,8.497998715029098e-05
9.819639278557114,73.23299884510116,73.23299884510116,10726.144239693176,8.361825348401908e-05
9.919839679358718,73.20548192744604,73.20548192744604,10718.085168459258,8.220091513067018e-05
10.02004008016032,73.17667771590423,73.17667771590423,10709.65232307463,8.073024764598813e-05
10.120240480961924,73.14659777799856,73.14659777799856,10700.84953299261,7.920861571619753e-05
10.220440881763528,73.1152541935726,73.11525419357261,10691.680791581472,7.763846770103555e-05
10.32064128256513,73.08265954993942,73.08265954993942,10682.150253784703,7.602232108183671e-05
10.420841683366733,73.04882693682671,73.04882693682671,10672.26223369292,7.436276791850105e-05
10.521042084168338,73.01376994112002,73.01376994112002,10662.021202029602,7.266246939252596e-05
10.62124248496994,72.97750264140632,72.97750264140632,10651.431783552933,7.09241721779108e-05
10.721442885771543,72.9400396023203,72.9400396023203,10640.498754376107,6.91506629664218e-05
10.821643286573147,72.90139586869526,72.90139586869526,10629.227039208437,6.73447812005179e-05
